чека;Дата;Час;Товар;Кількість;Сума;Спосіб платежу;Покупець;Собівартість,,
100000110;3-3-2024;0,503796296;Shirt type 5, Adidas;1;1433.36;cash;;779
100000110;3-3-2024;0,503796296;Tights type 2, Adidas;1;107.52;cash;;56
100000110;3-3-2024;0,503796296;Tights type 3, Nike;1;436.244;cash;;191
100000110;3-3-2024;0,503796296;Pants type 8, Nike;1;1563.272;cash;;743
100000115;5-22-2022;0,5721875;Type 5 shirt, Nike;1;911.744;non-cash;;419
100000115;5-22-2022;0,5721875;Cap type 6, Reebok;2;406.6;non-cash;;214
100000119;12-27-2022;0,861469907;Tights type 1, Reebok;1;343.98;non-cash;;182
100000119;12-27-2022;0,861469907;Cufflink type 1, Reebok;1;767.97;non-cash;;371
100000134;9-22-2023;0,415671296;Pants type 3, Adidas;1;2170.94;non-cash;ПІБ 1051;1102
100000146;12-26-2023;0,500219907;Ball type 2, Adidas;1;94.5;cash;;45
100000146;12-26-2023;0,500219907;Sneakers type 3, Puma;1;2559.3732;cash;;1965
100000146;12-26-2023;0,500219907;Cap type 8, Adidas;1;261.44;cash;;152
100000146;12-26-2023;0,500219907;Shirt type 6, Nike;1;1552.824;cash;;702
100000146;12-26-2023;0,500219907;Tights type 2, Puma;1;393.43616;cash;;257
100000149;8-10-2024;0,415439815;Type 2 ball, Reebok;1;100.11;cash;;47
100000149;8-10-2024;0,415439815;Cap type 1, Adidas;1;285.18;cash;;175
100000155;11-20-2023;0,69650463;Shoes type 4, Adidas;1;3582.78;non-cash;;1698
100000194;12-6-2022;0,800578704;Cufflink type 2, Reebok;1;432.0;non-cash;;200
100000194;12-6-2022;0,800578704;Belt type 2, Nike;1;536.8;non-cash;;220
100000194;12-6-2022;0,800578704;Запонка тип 6, Puma;1;365.72;non-cash;;205
100000221;7-26-2023;0,562534722;Cap type 6, Nike;1;510.024;cash;;237
100000223;8-3-2024;0,461701389;Pants type 4, Puma;1;1258.22128;cash;ПІБ 280;919
100000224;7-28-2023;0,609872685;Ball type 1, Adidas;2;120.9;non-cash;ПІБ 823;62
100000224;7-28-2023;0,609872685;Cufflink type 3, Puma;1;629.4912;non-cash;ПІБ 823;390
100000224;7-28-2023;0,609872685;T-shirt type 1, Adidas;2;919.8;non-cash;ПІБ 823;438
100000228;3-6-2023;0,747986111;Cap type 2, Adidas;1;630.72;non-cash;;292
100000228;3-6-2023;0,747986111;Type 2 shirt, Reebok;2;986.832;non-cash;;504
100000255;3-30-2022;0,825740741;Туфли тип 2, Puma;1;3234.944;cash;;2032
100000259;2-27-2022;0,379282407;Pants type 3, Adidas;1;2170.94;cash;;1102
100000280;7-28-2022;0,44306713;Cap type 5, Puma;1;234.08;cash;;140
100000280;7-28-2022;0,44306713;Boots type 3, Puma;2;9848.832;cash;;5496
100000280;7-28-2022;0,44306713;T-shirt type 2, Adidas;1;510.84;cash;;258
100000284;5-4-2022;0,69962963;Tights type 6, Reebok;1;691.6;non-cash;;380
100000284;5-4-2022;0,69962963;Cufflink type 3, Puma;1;551.616;non-cash;;390
100000284;5-4-2022;0,69962963;Cufflink type 5, Nike;1;949.648;non-cash;;427
100000284;5-4-2022;0,69962963;Pants type 2, Nike;1;1406.532;non-cash;;597
100000284;5-4-2022;0,69962963;Shirt type 9, Puma;1;669.8;non-cash;;425
100000286;2-8-2022;0,643518519;Cufflink type 6, Reebok;1;347.1468;non-cash;ПІБ 904;221
100000286;2-8-2022;0,643518519;T-shirt type 6, Nike;1;761.2;non-cash;ПІБ 904;346
100000286;2-8-2022;0,643518519;Type 2 shirt, Nike;1;1951.232;non-cash;ПІБ 904;824
100000292;5-25-2022;0,732384259;Shoes type 1, Puma;1;3787.08;cash;;2265
100000294;3-29-2023;0,663090278;Pants type 8, Adidas;2;4254.12;cash;;2106
100000294;3-29-2023;0,663090278;Cufflink type 1, Puma;1;227.88;cash;;135
100000294;3-29-2023;0,663090278;Type 4 shirt, Nike;1;2053.344;cash;;876
100000314;9-20-2022;0,672546296;T-shirt type 5, Nike;2;1136.8;cash;;490
100000314;9-20-2022;0,672546296;Tights type 3, Puma;1;606.464;cash;;368
100000326;9-1-2024;0,571863426;Shirt type 3, Adidas;1;605.6532;non-cash;ПІБ 943;372
100000326;9-1-2024;0,571863426;Shirt type 10, Reebok;1;1125.72;non-cash;ПІБ 943;531
100000360;9-29-2023;0,477106481;Belt type 2, Nike;1;515.328;non-cash;;220
100000367;6-15-2022;0,852210648;Type 4 shirt, Reebok;1;1673.9;cash;;881
100000367;6-15-2022;0,852210648;Shirt type 3, Puma;1;273.6;cash;;152
100000412;3-25-2023;0,530532407;Cufflink type 7, Adidas;1;334.88;non-cash;ПІБ 140;184
100000416;3-16-2024;0,818472222;Cap type 3, Nike;1;357.06;cash;;165
100000419;1-20-2023;0,539803241;Tights type 3, Nike;1;436.244;non-cash;ПІБ 579;191
100000443;7-26-2024;0,748831019;Pants type 4, Adidas;1;1098.39;non-cash;;705
100000445;1-13-2024;0,843206019;Belt type 2, Adidas;1;309.6525;cash;;159
100000448;10-4-2022;0,714212963;Pants type 8, Adidas;2;4254.12;non-cash;;2106
100000448;10-4-2022;0,714212963;Cufflink type 4, Nike;1;386.12;non-cash;;197
100000502;7-31-2023;0,788773148;Shirt type 3, Adidas;2;1495.44;cash;;744
100000508;3-25-2022;0,56712963;T-shirt type 4, Puma;1;234.752;cash;ПІБ 622;131
100000526;9-4-2022;0,417488426;Pants type 6, Puma;1;1241.952;cash;;761
100000535;4-23-2024;0,807951389;Pants type 12, Reebok;1;542.82;cash;;249
100000559;4-24-2023;0,474710648;Cufflink type 1, Reebok;1;714.2121;cash;ПІБ 372;371
100000559;4-24-2023;0,474710648;Pants type 5, Nike;1;2028.288;cash;ПІБ 372;912
100000559;4-24-2023;0,474710648;Cufflink type 1, Adidas;2;990.0456;cash;ПІБ 372;524
100000564;2-4-2023;0,412326389;Tights type 5, Nike;1;506.984;non-cash;;254
100000564;2-4-2023;0,412326389;Shirt type 5, Adidas;1;1433.36;non-cash;;779
100000564;2-4-2023;0,412326389;Pants type 3, Puma;1;412.8;non-cash;;258
100000564;2-4-2023;0,412326389;Shirt type 11, Adidas;1;601.4;non-cash;;310
100000564;2-4-2023;0,412326389;T-shirt type 1, Reebok;1;297.2928;non-cash;;158
100000578;1-11-2024;0,746944444;Sneakers type 4, Reebok;1;2836.62;cash;;1700
100000578;1-11-2024;0,746944444;T-shirt type 3, Puma;1;616.176;cash;;389
100000601;12-1-2023;0,751365741;Tights type 7, Adidas;2;1370.9088;non-cash;;738
100000622;3-24-2023;0,422662037;Belt type 2, Puma;1;234.768;cash;ПІБ 1252;146
100000622;3-24-2023;0,422662037;Tights type 1, Nike;1;515.088;cash;ПІБ 1252;252
100000622;3-24-2023;0,422662037;Tights type 6, Adidas;1;698.4;cash;ПІБ 1252;388
100000622;3-24-2023;0,422662037;Sneakers type 6, Reebok;1;1809.6032;cash;ПІБ 1252;1069
100000622;3-24-2023;0,422662037;Shoes type 4, Adidas;1;3582.78;cash;ПІБ 1252;1698
100000636;6-4-2023;0,727939815;Tights type 6, Adidas;1;698.4;non-cash;;388
100000642;2-8-2024;0,661828704;Cufflink type 6, Puma;1;354.7484;non-cash;;205
100000642;2-8-2024;0,661828704;Type 1 ball, Nike;1;96.26496;non-cash;;48
100000642;2-8-2024;0,661828704;Sneakers type 5, Adidas;2;3144.3714;non-cash;;1566
100000642;2-8-2024;0,661828704;Tights type 3, Nike;2;872.488;non-cash;;382
100000642;2-8-2024;0,661828704;Pants type 6, Puma;1;1130.17632;non-cash;;761
100000660;1-23-2022;0,535532407;Shirt type 7, Nike;1;1383.1104;non-cash;;820
100000660;1-23-2022;0,535532407;T-shirt type 3, Nike;1;535.0;non-cash;;250
100000660;1-23-2022;0,535532407;Pants type 7, Nike;2;5341.488;non-cash;;2598
100000660;1-23-2022;0,535532407;Sneakers type 4, Nike;1;1782.428;non-cash;;893
100000677;11-22-2022;0,609166667;Cap type 7, Puma;1;359.70912;cash;;237
100000679;8-16-2024;0,631493056;Cap type 5, Nike;1;427.07584;non-cash;;229
100000679;8-16-2024;0,631493056;Футболка тип 5, Adidas;1;627.21;non-cash;;303
100000682;9-27-2022;0,741203704;T-shirt type 1, Puma;1;420.784;cash;;238
100000682;9-27-2022;0,741203704;Cufflink type 6, Reebok;1;413.27;cash;;221
100000682;9-27-2022;0,741203704;Shirt type 9, Adidas;1;1818.46;cash;;838
100000682;9-27-2022;0,741203704;Belt type 4, Adidas;2;756.58;cash;;362
100000688;2-9-2023;0,732326389;Pants type 1, Nike;1;2275.036;cash;;937
100000708;1-6-2024;0,415891204;Tights type 5, Puma;1;675.376;cash;;382
100000711;6-17-2023;0,584791667;Запонка тип 6, Adidas;1;356.85;non-cash;;183
100000711;6-17-2023;0,584791667;Boots type 4, Nike;1;6929.088;non-cash;;2868
100000711;6-17-2023;0,584791667;T-shirt type 4, Puma;1;297.344;non-cash;;184
100000721;3-7-2023;0,674872685;Flip flops type 3, Reebok;1;481.14;cash;;243
100000727;1-13-2023;0,489803241;Cap type 5, Adidas;1;322.74;cash;;163
100000727;1-13-2023;0,489803241;T-shirt type 5, Nike;2;1068.592;cash;;490
100000746;1-14-2022;0,381527778;Cap type 5, Adidas;1;322.74;non-cash;;163
100000746;1-14-2022;0,381527778;Sneakers type 1, Nike;2;6628.20072;non-cash;;3774
100000746;1-14-2022;0,381527778;Pants type 9, Adidas;1;428.45;non-cash;;205
100000762;6-3-2024;0,597199074;Shirt type 3, Puma;2;547.2;cash;;304
100000762;6-3-2024;0,597199074;Cap type 3, Reebok;1;277.7016;cash;;157
100000762;6-3-2024;0,597199074;Sneakers type 1, Reebok;1;2316.6;cash;;1053
100000768;10-20-2023;0,460601852;T-shirt type 4, Reebok;1;367.14;cash;;174
100000768;10-20-2023;0,460601852;Штаны тип 11, Nike;1;893.316;cash;;453
100000775;1-3-2024;0,5940625;Flip flops type 1, Adidas;1;391.95;non-cash;;195
100000775;1-3-2024;0,5940625;Cufflink type 5, Nike;1;902.1656;non-cash;;427
100000775;1-3-2024;0,5940625;T-shirt type 2, Adidas;1;510.84;non-cash;;258
100000775;1-3-2024;0,5940625;Сапоги тип 2, Reebok;1;2607.95;non-cash;;1213
100000775;1-3-2024;0,5940625;T-shirt type 4, Adidas;1;290.88;non-cash;;144
100000775;1-3-2024;0,5940625;Cufflink type 4, Adidas;1;1005.6214;non-cash;;493
100000775;1-3-2024;0,5940625;T-shirt type 2, Adidas;1;510.84;non-cash;;258
100000782;12-15-2023;0,747210648;Sneakers type 3, Puma;1;3159.72;cash;;1965
100000782;12-15-2023;0,747210648;Flip flops type 3, Adidas;2;600.98;cash;;302
100000782;12-15-2023;0,747210648;T-shirt type 7, Nike;1;869.584;cash;;391
100000782;12-15-2023;0,747210648;Sneakers type 5, Reebok;1;2002.7136;cash;;1172
100000794;2-25-2024;0,494733796;Cufflink type 3, Nike;1;735.644;cash;;350
100000794;2-25-2024;0,494733796;Майка тип 2, Nike;1;934.78;cash;;385
100000799;7-29-2023;0,404340278;Flip flops type 3, Nike;2;627.072;cash;;276
100000817;8-17-2024;0,697025463;Tights type 1, Nike;2;1030.176;cash;;504
100000817;8-17-2024;0,697025463;Cap type 3, Nike;1;551.1808;cash;;298
100000817;8-17-2024;0,697025463;T-shirt type 3, Puma;1;480.6;cash;;267
100000818;12-19-2022;0,467511574;Flip flops type 2, Nike;1;770.24;cash;;332
100000822;8-26-2023;0,653460648;Cufflink type 2, Nike;2;463.088;non-cash;ПІБ 645;206
100000822;8-26-2023;0,653460648;T-shirt type 3, Adidas;1;158.25;non-cash;ПІБ 645;75
100000830;7-3-2023;0,502013889;Belt type 2, Nike;1;536.8;cash;;220
100000844;7-22-2024;0,449467593;Shirt type 10, Adidas;2;893.8;cash;;410
100000859;5-12-2023;0,59005787;Шапка тип 3, Reebok;1;454.1856;cash;;253
100000881;4-27-2022;0,569768519;Pants type 6, Nike;2;4596.336;cash;;2124
100000881;4-27-2022;0,569768519;Cufflink type 2, Nike;1;231.544;cash;;103
100000881;4-27-2022;0,569768519;Ball type 2, Adidas;1;94.5;cash;;45
100000881;4-27-2022;0,569768519;Pants type 10, Puma;1;1870.2;cash;;1039
100000904;7-9-2023;0,638900463;Pants type 1, Puma;1;722.304;cash;;418
100000927;3-26-2022;0,63369213;Туфли тип 4, Puma;1;3041.776;non-cash;;1802
100000937;4-30-2022;0,697893519;T-shirt type 5, Puma;1;233.09744;cash;;139
100000937;4-30-2022;0,697893519;Sneakers type 5, Adidas;1;1620.81;cash;;783
100000937;4-30-2022;0,697893519;T-shirt type 1, Adidas;1;409.311;cash;;219
100000945;2-7-2023;0,728541667;Shoes type 4, Nike;1;5776.12;non-cash;;2947
100000947;1-13-2023;0,7478125;Shirt type 12, Reebok;1;1021.496;non-cash;;629
100000947;1-13-2023;0,7478125;Pants type 9, Reebok;1;608.16;non-cash;;336
100000954;3-5-2023;0,80400463;Boots type 6, Adidas;1;5889.38;cash;;2714
100000954;3-5-2023;0,80400463;T-shirt type 5, Adidas;1;627.21;cash;;303
100000954;3-5-2023;0,80400463;T-shirt type 5, Puma;1;247.976;cash;;139
100000997;4-20-2023;0,855011574;Шапка тип 6, Adidas;1;487.6;cash;ПІБ 1152;265
100000997;4-20-2023;0,855011574;Shirt type 10, Reebok;2;2251.44;cash;ПІБ 1152;1062
100000997;4-20-2023;0,855011574;Cufflink type 6, Puma;2;731.44;cash;ПІБ 1152;410
100000997;4-20-2023;0,855011574;Cap type 2, Puma;1;286.3224;cash;ПІБ 1152;190
100000997;4-20-2023;0,855011574;Shirt type 7, Puma;1;1076.768;cash;ПІБ 1152;644
100001009;8-24-2024;0,460706019;Flip flops type 3, Adidas;1;279.4557;cash;ПІБ 778;151
100001009;8-24-2024;0,460706019;T-shirt type 1, Nike;1;298.4608;cash;ПІБ 778;139
100001011;5-19-2024;0,605219907;Cufflink type 2, Reebok;1;432.0;non-cash;;200
100001013;4-29-2022;0,697789352;Belt type 2, Puma;1;192.50976;cash;;146
100001019;2-16-2023;0,823946759;Shoes type 2, Puma;1;2943.79904;cash;ПІБ 370;2032
100001019;2-16-2023;0,823946759;T-shirt type 3, Puma;1;616.176;cash;ПІБ 370;389
100001019;2-16-2023;0,823946759;Кроссовки тип 4, Adidas;1;1544.51;cash;ПІБ 370;739
100001019;2-16-2023;0,823946759;Tights type 1, Adidas;1;787.5;cash;ПІБ 370;375
100001019;2-16-2023;0,823946759;T-shirt type 4, Reebok;1;271.6;cash;ПІБ 370;140
100001021;11-29-2023;0,567708333;Tights type 6, Reebok;1;684.684;cash;;380
100001036;5-15-2022;0,395694444;T-shirt type 2, Puma;1;511.68;cash;;390
100001044;1-2-2022;0,591990741;Shoes type 2, Reebok;1;4327.96;non-cash;;2378
100001044;1-2-2022;0,591990741;Cufflink type 5, Puma;1;250.88;non-cash;;140
100001044;1-2-2022;0,591990741;Cufflink type 5, Nike;1;949.648;non-cash;;427
100001046;7-19-2023;0,729849537;Pants type 4, Nike;1;2360.408;non-cash;;1007
100001046;7-19-2023;0,729849537;Sneakers type 2, Reebok;1;1295.84;non-cash;;712
100001046;7-19-2023;0,729849537;Cufflink type 1, Adidas;1;526.62;non-cash;;262
100001046;7-19-2023;0,729849537;Cap type 1, Reebok;1;529.2;non-cash;;245
100001046;7-19-2023;0,729849537;Ball type 1, Adidas;2;120.9;non-cash;;62
100001046;7-19-2023;0,729849537;T-shirt type 1, Nike;2;904.4;non-cash;;380
100001046;7-19-2023;0,729849537;Pants type 9, Puma;1;858.28;non-cash;;499
100001053;3-6-2023;0,690150463;Shirt type 5, Adidas;1;1433.36;cash;ПІБ 778;779
100001065;6-29-2022;0,866423611;T-shirt type 5, Reebok;1;588.7644;non-cash;;323
100001065;6-29-2022;0,866423611;Shoes type 4, Adidas;2;6234.0372;non-cash;;3396
100001065;6-29-2022;0,866423611;Cufflink type 5, Adidas;1;623.3976;non-cash;;342
100001065;6-29-2022;0,866423611;T-shirt type 1, Adidas;1;459.9;non-cash;;219
100001065;6-29-2022;0,866423611;T-shirt type 1, Adidas;1;797.16;non-cash;;364
100001065;6-29-2022;0,866423611;Cufflink type 2, Puma;1;445.28;non-cash;;253
100001079;10-18-2023;0,509606481;Shoes type 2, Nike;1;3792.536;non-cash;;1562
100001085;3-9-2023;0,439837963;Pants type 7, Puma;1;482.232;non-cash;ПІБ 733;283
100001085;3-9-2023;0,439837963;Cufflink type 5, Puma;1;250.88;non-cash;ПІБ 733;140
100001094;1-24-2024;0,658391204;Belt type 4, Reebok;1;392.1612;non-cash;;236
100001108;7-31-2023;0,481793981;Cufflink type 3, Nike;1;782.6;cash;;350
100001108;7-31-2023;0,481793981;Shirt type 8, Puma;1;408.672;cash;;264
100001108;7-31-2023;0,481793981;Shoes type 2, Nike;1;3792.536;cash;;1562
100001108;7-31-2023;0,481793981;Tights type 6, Nike;1;456.042;cash;;255
100001108;7-31-2023;0,481793981;T-shirt type 3, Puma;1;616.176;cash;;389
100001113;2-7-2023;0,722337963;Cap type 6, Puma;1;348.4884;non-cash;;251
100001124;7-28-2023;0,84224537;T-shirt type 3, Nike;1;492.2;cash;;230
100001124;7-28-2023;0,84224537;Boots type 3, Adidas;2;12715.76;cash;;5998
100001139;9-6-2022;0,520659722;Tights type 4, Nike;2;579.576;cash;;246
100001146;12-20-2023;0,850034722;T-shirt type 2, Puma;1;297.92;cash;;200
100001149;7-16-2023;0,415833333;Cap type 2, Adidas;1;278.8;cash;ПІБ 1011;136
100001150;6-10-2022;0,632210648;Pants type 6, Puma;1;1241.952;cash;;761
100001171;5-16-2023;0,650717593;T-shirt type 4, Adidas;1;217.21;cash;;107
100001171;5-16-2023;0,650717593;Tights type 4, Reebok;2;1342.881;cash;;786
100001171;5-16-2023;0,650717593;Pants type 5, Puma;1;2062.90784;cash;;1207
100001171;5-16-2023;0,650717593;Type 2 shirt, Reebok;1;554.4;cash;;252
100001184;9-14-2024;0,619571759;Pants type 11, Nike;1;893.316;cash;;453
100001192;9-10-2024;0,826388889;Tights type 5, Reebok;1;227.55;cash;;111
100001192;9-10-2024;0,826388889;T-shirt type 4, Adidas;1;217.21;cash;;107
100001213;12-19-2023;0,481574074;Shoes type 3, Reebok;1;2500.2;non-cash;;1389
100001220;9-22-2022;0,678009259;Type 3 shoes, Nike;1;6650.368;cash;;3352
100001220;9-22-2022;0,678009259;Sneakers type 3, Puma;1;3159.72;cash;;1965
100001224;11-5-2023;0,559155093;Pants type 5, Reebok;1;2076.68;non-cash;;1076
100001239;6-2-2022;0,667824074;Sneakers type 2, Nike;1;3873.008;cash;;1964
100001243;7-28-2023;0,732893519;Shirt type 11, Adidas;1;601.4;cash;;310
100001243;7-28-2023;0,732893519;Cufflink type 6, Puma;1;365.72;cash;;205
100001243;7-28-2023;0,732893519;Pants type 9, Adidas;1;381.3205;cash;;205
100001282;1-25-2023;0,619965278;Sneakers type 4, Nike;2;3422.26176;non-cash;;1786
100001282;1-25-2023;0,619965278;Pants type 4, Nike;1;2360.408;non-cash;;1007
100001293;7-23-2024;0,822615741;Boots type 3, Adidas;1;6357.88;non-cash;;2999
100001294;6-14-2023;0,589108796;Pants type 11, Reebok;1;1816.84;non-cash;;857
100001344;9-14-2023;0,768333333;Boots type 1, Adidas;1;7074.9763;non-cash;;3593
100001351;7-15-2023;0,599791667;Flip flops type 1, Adidas;1;313.56;cash;;195
100001351;7-15-2023;0,599791667;Cufflink type 5, Nike;2;1823.32416;cash;;854
100001360;5-26-2023;0,682326389;Pants type 3, Reebok;1;1850.97;non-cash;;869
100001360;5-26-2023;0,682326389;Cufflink type 3, Adidas;1;325.0808;non-cash;;187
100001368;1-18-2024;0,39125;Cap type 7, Puma;1;363.57696;non-cash;;237
100001368;1-18-2024;0,39125;T-shirt type 6, Reebok;1;371.05;non-cash;;181
100001368;1-18-2024;0,39125;Shirt type 2, Adidas;1;1007.4;non-cash;;460
100001368;1-18-2024;0,39125;Shirt type 2, Adidas;2;2014.8;non-cash;;920
100001377;6-20-2023;0,794965278;T-shirt type 3, Nike;1;535.0;non-cash;;250
100001388;1-20-2022;0,711261574;Type 4 shirt, Reebok;2;3347.8;cash;;1762
100001388;1-20-2022;0,711261574;Shirt type 10, Puma;1;495.816;cash;;283
100001388;1-20-2022;0,711261574;Boots type 1, Nike;1;6055.728;cash;;2814
100001398;12-4-2023;0,659560185;Type 2 shirt, Reebok;1;554.4;non-cash;;252
100001412;7-13-2022;0,617222222;Cap type 2, Nike;1;541.66;cash;;265
100001428;5-3-2024;0,433993056;Boots type 6, Nike;1;5533.412;non-cash;;2279
100001428;5-3-2024;0,433993056;Шлёпки тип 1, Nike;1;371.68;non-cash;;184
100001428;5-3-2024;0,433993056;Cap type 5, Adidas;1;322.74;non-cash;;163
100001428;5-3-2024;0,433993056;T-shirt type 2, Puma;1;313.6;non-cash;;200
100001436;8-8-2022;0,687002315;Type 1 ball, Nike;1;111.936;non-cash;;48
100001439;7-19-2024;0,570983796;Tights type 4, Puma;1;297.024;cash;;168
100001455;2-5-2022;0,771712963;Cufflink type 1, Adidas;1;526.62;non-cash;;262
100001455;2-5-2022;0,771712963;Шапка тип 1, Reebok;2;991.1;non-cash;;530
100001457;7-23-2024;0,817280093;Boots type 5, Reebok;1;5673.87;cash;ПІБ 1021;2741
100001457;7-23-2024;0,817280093;T-shirt type 4, Puma;1;208.92928;cash;ПІБ 1021;131
100001459;5-21-2023;0,867777778;Cufflink type 5, Nike;1;949.648;cash;;427
100001459;5-21-2023;0,867777778;Cufflink type 4, Reebok;2;1642.48;cash;;838
100001459;5-21-2023;0,867777778;Belt type 1, Nike;1;274.912;cash;;121
100001459;5-21-2023;0,867777778;Cap type 2, Adidas;1;276.012;cash;;136
100001485;5-9-2023;0,430474537;Tights type 2, Reebok;1;399.168;cash;;210
100001485;5-9-2023;0,430474537;Pants type 7, Puma;1;482.232;cash;;283
100001485;5-9-2023;0,430474537;Шапка тип 8, Reebok;2;712.7736;cash;;418
100001485;5-9-2023;0,430474537;Boots type 4, Puma;1;4763.872;cash;;3631
100001496;11-16-2022;0,753275463;Cap type 8, Nike;1;569.64;non-cash;;282
100001496;11-16-2022;0,753275463;Pants type 2, Reebok;1;335.49;non-cash;;159
100001496;11-16-2022;0,753275463;T-shirt type 2, Puma;2;1248.0;non-cash;;780
100001506;6-9-2022;0,647175926;T-shirt type 5, Adidas;1;614.6658;cash;;303
100001511;5-18-2024;0,587731481;T-shirt type 3, Adidas;2;316.5;cash;;150
100001511;5-18-2024;0,587731481;Boots type 1, Reebok;1;4917.9;cash;;2535
100001511;5-18-2024;0,587731481;Boots type 6, Nike;1;5533.412;cash;;2279
100001511;5-18-2024;0,587731481;Shoes type 1, Reebok;1;6119.12;cash;;3122
100001514;2-19-2024;0,822199074;Type 4 shirt, Reebok;1;1673.9;non-cash;;881
100001553;12-3-2022;0,763981481;Cap type 6, Reebok;1;203.3;cash;ПІБ 138;107
100001553;12-3-2022;0,763981481;Shirt type 2, Adidas;1;815.994;cash;ПІБ 138;460
100001569;10-30-2023;0,523738426;Type 5 shirt, Nike;1;756.74752;cash;;419
100001569;10-30-2023;0,523738426;Shirt type 9, Adidas;1;1782.0908;cash;;838
100001570;6-8-2024;0,614444444;T-shirt type 2, Reebok;1;385.2;non-cash;;214
100001571;2-26-2022;0,420266204;Штаны тип 12, Puma;1;296.192;cash;ПІБ 567;178
100001571;2-26-2022;0,420266204;Boots type 4, Puma;2;11619.2;cash;ПІБ 567;7262
100001575;1-16-2024;0,46212963;Cap type 3, Nike;1;339.207;non-cash;;165
100001575;1-16-2024;0,46212963;Type 4 shirt, Nike;1;1868.54304;non-cash;;876
100001575;1-16-2024;0,46212963;Boots type 4, Nike;1;6929.088;non-cash;;2868
100001575;1-16-2024;0,46212963;Flip flops type 1, Nike;1;371.68;non-cash;;184
100001575;1-16-2024;0,46212963;Tights type 2, Adidas;1;107.52;non-cash;;56
100001575;1-16-2024;0,46212963;Sneakers type 1, Reebok;1;2316.6;non-cash;;1053
100001575;1-16-2024;0,46212963;Шапка тип 5, Reebok;1;214.928;non-cash;;112
100001575;1-16-2024;0,46212963;Tights type 2, Reebok;1;340.956;non-cash;;210
100001575;1-16-2024;0,46212963;Boots type 4, Nike;1;6929.088;non-cash;;2868
100001575;1-16-2024;0,46212963;Cap type 4, Nike;1;573.672;non-cash;;246
100001575;1-16-2024;0,46212963;Sneakers type 3, Puma;1;2906.9424;non-cash;;1965
100001579;3-23-2022;0,619178241;Shirt type 8, Adidas;1;649.65;cash;;355
100001610;7-26-2022;0,597546296;T-shirt type 6, Puma;1;181.28;non-cash;ПІБ 197;110
100001611;3-10-2023;0,406342593;Shirt type 10, Puma;2;991.632;non-cash;;566
100001619;8-17-2023;0,732858796;Belt type 4, Puma;1;430.944;cash;ПІБ 1195;268
100001638;10-19-2023;0,670219907;Belt type 3, Reebok;1;714.42;cash;;378
100001707;6-21-2022;0,575520833;Cap type 2, Puma;2;560.0592;cash;;380
