№ чека;Дата;Час;Товар;Кількість;Сума;Спосіб платежу;Покупець;Собівартість
100000256;12-28-2023;0,474293981;Type 2 ball, Nike;1;69.4046;cash;;37
100000256;12-28-2023;0,474293981;Cap type 8, Adidas;1;326.8;cash;;152
100000270;5-12-2024;0,648344907;Belt type 1, Adidas;1;637.29;non-cash;;291
100000272;5-5-2024;0,613206019;Boots type 5, Nike;1;8007.18;cash;;3543
100000272;5-5-2024;0,613206019;Pants type 7, Nike;1;2510.49936;cash;;1299
100000274;7-30-2022;0,484930556;Belt type 2, Reebok;2;829.0612;non-cash;;418
100000275;7-21-2024;0,448668981;Cufflink type 1, Reebok;1;767.97;cash;;371
100000276;6-16-2023;0,701828704;Pants type 3, Nike;1;1505.79744;cash;ПІБ 1129;714
100000276;6-16-2023;0,701828704;Type 1 ball, Reebok;2;187.48;cash;ПІБ 1129;86
100000276;6-16-2023;0,701828704;Cufflink type 4, Puma;1;788.04;cash;ПІБ 1129;495
100000301;7-20-2022;0,43693287;Cufflink type 4, Puma;1;654.0732;cash;;495
100000307;9-23-2022;0,687094907;Shirt type 8, Puma;1;475.2;non-cash;;264
100000307;9-23-2022;0,687094907;Cap type 1, Nike;1;455.168;non-cash;;224
100000307;9-23-2022;0,687094907;Boots type 2, Adidas;1;6783.45;non-cash;;3309
100000322;6-11-2023;0,773553241;Cufflink type 2, Puma;1;445.28;cash;ПІБ 1044;253
100000322;6-11-2023;0,773553241;T-shirt type 3, Adidas;1;623.28;cash;ПІБ 1044;318
100000322;6-11-2023;0,773553241;Sneakers type 3, Adidas;1;3241.26;cash;ПІБ 1044;1637
100000330;3-2-2022;0,481365741;Cap type 3, Reebok;1;516.12;non-cash;ПІБ 62;253
100000330;3-2-2022;0,481365741;Sneakers type 1, Puma;1;2891.328;non-cash;ПІБ 62;1628
100000330;3-2-2022;0,481365741;Flip flops type 1, Puma;1;247.6656;non-cash;ПІБ 62;189
100000347;8-11-2024;0,745532407;Shirt type 2, Adidas;1;866.364;non-cash;;460
100000347;8-11-2024;0,745532407;T-shirt type 4, Puma;2;594.688;non-cash;;368
100000355;3-19-2022;0,861469907;Pants type 6, Adidas;1;1394.12;non-cash;ПІБ 580;766
100000355;3-19-2022;0,861469907;Cap type 7, Nike;2;905.216;non-cash;ПІБ 580;416
100000355;3-19-2022;0,861469907;Belt type 4, Nike;2;1069.9664;non-cash;ПІБ 580;566
100000355;3-19-2022;0,861469907;Shirt type 11, Nike;1;1299.548;non-cash;ПІБ 580;659
100000357;7-11-2024;0,393055556;T-shirt type 2, Puma;1;313.6;non-cash;ПІБ 792;200
100000364;9-12-2022;0,404178241;T-shirt type 2, Nike;1;794.563;non-cash;ПІБ 855;385
100000364;9-12-2022;0,404178241;T-shirt type 6, Reebok;1;371.05;non-cash;ПІБ 855;181
100000364;9-12-2022;0,404178241;Pants type 7, Puma;1;482.232;non-cash;ПІБ 855;283
100000364;9-12-2022;0,404178241;Sneakers type 3, Reebok;1;2018.5844;non-cash;ПІБ 855;1138
100000371;1-16-2023;0,678101852;Cap type 8, Nike;1;569.64;non-cash;ПІБ 387;282
100000371;1-16-2023;0,678101852;Shirt type 10, Adidas;1;446.9;non-cash;ПІБ 387;205
100000379;5-19-2023;0,744918981;Tights type 2, Reebok;1;415.8;cash;;210
100000379;5-19-2023;0,744918981;Pants type 1, Adidas;1;1564.92;cash;;828
100000379;5-19-2023;0,744918981;Belt type 4, Reebok;2;901.52;cash;;472
100000401;5-30-2024;0,742511574;Sneakers type 3, Adidas;1;3241.26;non-cash;;1637
100000401;5-30-2024;0,742511574;Pants type 1, Puma;1;722.304;non-cash;;418
100000410;7-18-2024;0,50625;Pants type 11, Reebok;1;1816.84;cash;;857
100000415;6-11-2024;0,505949074;Shirt type 8, Nike;1;1172.888;non-cash;;542
100000415;6-11-2024;0,505949074;T-shirt type 5, Adidas;1;627.21;non-cash;;303
100000442;1-10-2022;0,702465278;Belt type 2, Puma;1;206.59584;cash;;146
100000442;1-10-2022;0,702465278;Tights type 7, Puma;2;1131.52;cash;;640
100000444;4-28-2024;0,6153125;Cap type 4, Reebok;1;229.4;non-cash;ПІБ 287;124
100000446;6-27-2024;0,602025463;Cap type 4, Reebok;1;229.4;cash;ПІБ 20;124
100000446;6-27-2024;0,602025463;T-shirt type 3, Nike;1;535.0;cash;ПІБ 20;250
100000446;6-27-2024;0,602025463;Shirt type 11, Nike;1;1065.62936;cash;ПІБ 20;659
100000446;6-27-2024;0,602025463;Cap type 4, Adidas;1;562.8;cash;ПІБ 20;280
100000452;12-19-2023;0,6496875;Sneakers type 1, Nike;2;6468.48504;non-cash;;3774
100000454;10-19-2023;0,730277778;Cap type 2, Reebok;1;378.4;non-cash;;176
100000460;1-31-2023;0,626226852;Cufflink type 6, Puma;1;351.0912;cash;;205
100000473;12-15-2022;0,6021875;Sneakers type 6, Puma;2;5154.944;cash;;3128
100000482;4-21-2022;0,847962963;Shoes type 4, Adidas;1;3224.502;cash;;1698
100000482;4-21-2022;0,847962963;Pants type 2, Nike;1;1406.532;cash;;597
100000495;11-25-2023;0,488622685;Pants type 12, Adidas;2;1676.0712;non-cash;;894
100000495;11-25-2023;0,488622685;Cap type 2, Reebok;1;378.4;non-cash;;176
100000495;11-25-2023;0,488622685;Shirt type 6, Reebok;1;699.6;non-cash;;330
100000499;4-5-2024;0,476203704;Belt type 2, Adidas;1;325.95;cash;ПІБ 1053;159
100000499;4-5-2024;0,476203704;Pants type 8, Puma;1;759.632;cash;ПІБ 1053;482
100000522;10-9-2023;0,7590625;Pants type 8, Nike;2;2688.82784;non-cash;ПІБ 489;1486
100000522;10-9-2023;0,7590625;Pants type 3, Nike;1;1536.528;non-cash;ПІБ 489;714
100000522;10-9-2023;0,7590625;Shirt type 5, Reebok;1;903.8484;non-cash;ПІБ 489;534
100000522;10-9-2023;0,7590625;Sneakers type 6, Puma;1;2577.472;non-cash;ПІБ 489;1564
100000522;10-9-2023;0,7590625;Sneakers type 2, Puma;2;3158.112;non-cash;ПІБ 489;1964
100000522;10-9-2023;0,7590625;Pants type 10, Adidas;1;1137.96;non-cash;ПІБ 489;580
100000524;2-6-2022;0,548912037;Boots type 5, Puma;1;2273.648;non-cash;;1286
100000539;11-8-2023;0,733043981;Shirt type 5, Reebok;2;1846.572;non-cash;ПІБ 647;1068
100000539;11-8-2023;0,733043981;T-shirt type 5, Reebok;1;700.91;non-cash;ПІБ 647;323
100000542;9-20-2022;0,710150463;T-shirt type 7, Adidas;1;334.9352;non-cash;ПІБ 800;167
100000555;8-15-2023;0,821956019;Pants type 11, Nike;1;893.316;cash;;453
100000555;8-15-2023;0,821956019;T-shirt type 4, Puma;1;297.344;cash;;184
100000555;8-15-2023;0,821956019;Tights type 2, Puma;1;427.648;cash;;257
100000555;8-15-2023;0,821956019;Cap type 3, Adidas;2;462.0;cash;;220
100000566;6-23-2023;0,472326389;Type 3 shirt, Reebok;1;516.6;cash;ПІБ 967;246
100000566;6-23-2023;0,472326389;Cufflink type 5, Nike;1;949.648;cash;ПІБ 967;427
100000566;6-23-2023;0,472326389;Type 1 ball, Reebok;1;89.053;cash;ПІБ 967;43
100000646;4-20-2024;0,716597222;Cap type 2, Adidas;1;250.92;cash;;136
100000646;4-20-2024;0,716597222;T-shirt type 1, Puma;1;420.784;cash;;238
100000646;4-20-2024;0,716597222;Cap type 8, Nike;1;541.158;cash;;282
100000650;7-11-2023;0,628541667;Pants type 5, Puma;1;2105.008;cash;ПІБ 1128;1207
100000650;7-11-2023;0,628541667;Boots type 4, Reebok;1;7161.1;cash;ПІБ 1128;3769
100000650;7-11-2023;0,628541667;T-shirt type 4, Adidas;1;217.21;cash;ПІБ 1128;107
100000651;10-30-2023;0,515740741;Cap type 2, Nike;1;541.66;non-cash;;265
100000651;10-30-2023;0,515740741;Shoes type 1, Nike;1;3176.892;non-cash;;1611
100000657;4-19-2022;0,504652778;Sneakers type 6, Puma;1;2577.472;cash;;1564
100000689;5-23-2023;0,738043981;Belt type 2, Reebok;1;440.99;cash;;209
100000689;5-23-2023;0,738043981;Tights type 4, Adidas;1;688.2;cash;;370
100000689;5-23-2023;0,738043981;Shirt type 11, Adidas;2;1202.8;cash;;620
100000709;7-25-2024;0,396145833;Boots type 1, Nike;1;6055.728;cash;ПІБ 770;2814
100000716;3-9-2022;0,787951389;Cap type 3, Puma;1;479.864;cash;;287
100000724;7-28-2022;0,726053241;Type 1 shirt, Nike;1;1445.6664;cash;ПІБ 1173;837
100000724;7-28-2022;0,726053241;Pants type 6, Puma;1;1241.952;cash;ПІБ 1173;761
100000724;7-28-2022;0,726053241;Shirt type 11, Reebok;2;2785.1824;cash;ПІБ 1173;1628
100000740;11-11-2022;0,491423611;Sneakers type 5, Puma;2;2238.352;cash;ПІБ 838;1406
100000758;7-6-2023;0,752453704;Sneakers type 1, Puma;1;2891.328;cash;;1628
100000759;5-30-2023;0,606030093;Cufflink type 4, Reebok;1;821.24;non-cash;;419
100000760;8-13-2023;0,600532407;T-shirt type 2, Adidas;1;429.1056;non-cash;;258
100000760;8-13-2023;0,600532407;Pants type 10, Reebok;1;343.44;non-cash;;162
100000760;8-13-2023;0,600532407;Tights type 1, Reebok;1;299.2626;non-cash;;182
100000760;8-13-2023;0,600532407;Boots type 3, Nike;1;7087.68;non-cash;;3312
100000767;9-12-2022;0,429976852;Tights type 1, Adidas;1;787.5;cash;;375
100000767;9-12-2022;0,429976852;Tights type 5, Reebok;1;204.795;cash;;111
100000767;9-12-2022;0,429976852;T-shirt type 6, Nike;1;761.2;cash;;346
100000770;5-11-2023;0,386828704;Sneakers type 1, Puma;2;5782.656;cash;;3256
100000770;5-11-2023;0,386828704;Belt type 3, Reebok;1;714.42;cash;;378
100000771;4-9-2024;0,544189815;T-shirt type 1, Adidas;1;459.9;cash;ПІБ 1024;219
100000776;10-13-2022;0,427037037;Shirt type 8, Reebok;1;1187.93;cash;;563
100000787;1-30-2023;0,710439815;Cap type 2, Nike;1;546.448;non-cash;ПІБ 318;238
100000815;6-29-2023;0,583761574;T-shirt type 3, Puma;1;616.176;cash;;389
100000828;3-10-2022;0,669872685;Cap type 8, Reebok;1;409.64;non-cash;;209
100000836;7-23-2023;0,754953704;Flip flops type 1, Puma;1;247.6656;non-cash;;189
100000850;12-6-2022;0,812071759;Shirt type 2, Puma;2;1707.264;non-cash;;988
100000850;12-6-2022;0,812071759;Tights type 6, Adidas;2;1396.8;non-cash;;776
100000850;12-6-2022;0,812071759;Tights type 4, Adidas;1;688.2;non-cash;;370
100000850;12-6-2022;0,812071759;Shirt type 6, Nike;1;1552.824;non-cash;;702
100000877;10-22-2022;0,411805556;Pants type 2, Reebok;1;325.4253;cash;ПІБ 796;159
100000887;10-7-2022;0,670543981;Pants type 7, Adidas;1;1706.5152;cash;;954
100000887;10-7-2022;0,670543981;Sneakers type 1, Reebok;1;1922.778;cash;;1053
100000888;2-23-2022;0,607534722;T-shirt type 7, Puma;1;201.552;cash;;114
100000902;7-2-2022;0,581724537;Pants type 5, Adidas;1;855.6856;cash;;479
100000902;7-2-2022;0,581724537;Shirt type 7, Nike;2;3293.12;cash;;1640
100000902;7-2-2022;0,581724537;Cufflink type 6, Puma;1;365.72;cash;;205
100000905;8-14-2022;0,693217593;T-shirt type 2, Adidas;1;510.84;cash;;258
100000911;2-17-2022;0,458553241;Cap type 3, Puma;1;479.864;non-cash;;287
100000914;4-24-2024;0,675011574;T-shirt type 5, Reebok;1;700.91;non-cash;ПІБ 999;323
100000914;4-24-2024;0,675011574;Shirt type 2, Adidas;2;2014.8;non-cash;ПІБ 999;920
100000914;4-24-2024;0,675011574;Pants type 9, Adidas;1;428.45;non-cash;ПІБ 999;205
100000914;4-24-2024;0,675011574;Pants type 7, Puma;2;964.464;non-cash;ПІБ 999;566
100000914;4-24-2024;0,675011574;Shirt type 1, Puma;1;1426.128;non-cash;ПІБ 999;814
100000914;4-24-2024;0,675011574;Pants type 7, Adidas;1;1666.8288;non-cash;ПІБ 999;954
100000935;2-10-2022;0,437025463;Sneakers type 6, Adidas;1;2545.92;cash;;1224
100000935;2-10-2022;0,437025463;Shirt type 10, Puma;2;813.13824;cash;;566
100000935;2-10-2022;0,437025463;Boots type 5, Adidas;1;2860.29;cash;;1563
100000943;4-29-2023;0,783865741;Cap type 1, Adidas;1;225.09;non-cash;ПІБ 1018;123
100000959;9-19-2024;0,789409722;Pants type 8, Puma;1;759.632;non-cash;;482
100000959;9-19-2024;0,789409722;Shirt type 7, Reebok;1;1310.26;non-cash;;686
100000959;9-19-2024;0,789409722;Pants type 12, Reebok;2;1085.64;non-cash;;498
100000959;9-19-2024;0,789409722;Cufflink type 6, Puma;1;365.72;non-cash;;205
100000959;9-19-2024;0,789409722;Shirt type 4, Adidas;1;358.98;non-cash;;186
100000970;1-29-2022;0,720324074;T-shirt type 7, Adidas;1;316.7322;non-cash;ПІБ 746;167
100000970;1-29-2022;0,720324074;Shoes type 4, Puma;1;3041.776;non-cash;ПІБ 746;1802
100000996;7-11-2024;0,451458333;Pants type 8, Nike;1;1297.51576;cash;;743
100000996;7-11-2024;0,451458333;Shirt type 6, Reebok;1;699.6;cash;;330
100001015;7-4-2023;0,672916667;Cufflink type 5, Puma;1;225.792;non-cash;ПІБ 878;140
100001057;5-11-2024;0,712604167;Cap type 3, Nike;1;648.448;non-cash;;298
100001057;5-11-2024;0,712604167;Tights type 6, Adidas;1;698.4;non-cash;;388
100001058;11-7-2023;0,480497685;Shirt type 5, Reebok;1;971.88;non-cash;;534
100001058;11-7-2023;0,480497685;Sneakers type 4, Adidas;1;1436.3943;non-cash;;739
100001083;8-5-2023;0,398946759;Sneakers type 6, Reebok;1;1770.264;cash;;1069
100001102;5-26-2024;0,825833333;Tights type 1, Puma;1;215.496;cash;;123
100001102;5-26-2024;0,825833333;Type 3 shirt, Reebok;1;516.6;cash;;246
100001111;5-26-2022;0,513298611;Cap type 6, Adidas;1;487.6;cash;;265
100001111;5-26-2022;0,513298611;Shirt type 4, Puma;1;888.88;cash;;542
100001114;8-17-2023;0,58212963;Shoes type 3, Puma;1;5261.256;cash;ПІБ 1255;3003
100001114;8-17-2023;0,58212963;Cap type 3, Reebok;1;287.1687;cash;ПІБ 1255;157
100001114;8-17-2023;0,58212963;T-shirt type 1, Puma;1;420.784;cash;ПІБ 1255;238
100001125;4-28-2022;0,636875;Cap type 8, Puma;2;1039.36;non-cash;ПІБ 338;580
100001125;4-28-2022;0,636875;Cap type 2, Puma;1;334.5408;non-cash;ПІБ 338;220
100001125;4-28-2022;0,636875;Boots type 3, Adidas;2;12715.76;non-cash;ПІБ 338;5998
100001125;4-28-2022;0,636875;Tights type 3, Puma;1;606.464;non-cash;ПІБ 338;368
100001127;5-10-2024;0,707824074;T-shirt type 2, Puma;1;624.0;non-cash;ПІБ 966;390
100001156;5-24-2023;0,815486111;Type 3 shirt, Nike;1;1737.236;cash;ПІБ 836;821
100001178;8-4-2022;0,626516204;T-shirt type 7, Reebok;1;538.1376;non-cash;;286
100001185;5-4-2023;0,760659722;Pants type 7, Reebok;1;1398.813;non-cash;ПІБ 1027;806
100001191;12-2-2022;0,819340278;Tights type 4, Adidas;1;688.2;cash;;370
100001191;12-2-2022;0,819340278;Pants type 10, Adidas;1;1264.4;cash;;580
100001226;4-20-2024;0,581296296;T-shirt type 4, Nike;1;594.336;cash;;246
100001226;4-20-2024;0,581296296;Sneakers type 5, Reebok;1;2250.24;cash;;1172
100001226;4-20-2024;0,581296296;Cap type 5, Adidas;1;322.74;cash;;163
100001231;8-25-2023;0,447986111;Shirt type 7, Puma;2;1744.36416;cash;;1288
100001234;5-25-2024;0,74724537;T-shirt type 2, Nike;2;1869.56;cash;;770
100001241;3-20-2024;0,413310185;Shirt type 9, Adidas;1;1818.46;cash;;838
100001246;3-11-2022;0,752939815;Shoes type 3, Puma;1;5261.256;cash;;3003
100001247;1-24-2022;0,638946759;Cap type 1, Adidas;1;298.76;cash;;175
100001247;1-24-2022;0,638946759;Shirt type 8, Nike;1;1172.888;cash;;542
100001247;1-24-2022;0,638946759;Pants type 5, Reebok;1;1972.846;cash;;1076
100001286;7-17-2022;0,843900463;Belt type 4, Adidas;1;350.416;cash;;181
100001286;7-17-2022;0,843900463;Boots type 6, Puma;1;2144.936;cash;;1361
100001289;5-3-2023;0,42869213;Shirt type 8, Puma;2;864.864;cash;;528
100001289;5-3-2023;0,42869213;Cap type 4, Nike;2;1147.344;cash;;492
100001289;5-3-2023;0,42869213;Boots type 1, Adidas;1;7293.79;cash;;3593
100001289;5-3-2023;0,42869213;T-shirt type 7, Adidas;1;364.06;cash;;167
100001289;5-3-2023;0,42869213;Shirt type 12, Adidas;1;820.8;cash;;456
100001295;5-14-2023;0,606990741;Cap type 1, Nike;1;464.112;cash;;198
100001314;5-23-2024;0,50474537;Flip flops type 1, Adidas;1;391.95;cash;;195
100001318;11-2-2023;0,843159722;T-shirt type 3, Reebok;1;440.7;non-cash;;226
100001318;11-2-2023;0,843159722;Flip flops type 3, Adidas;1;267.4361;non-cash;;151
100001330;11-5-2022;0,577222222;Type 3 shoes, Nike;1;5386.79808;non-cash;ПІБ 564;3352
100001330;11-5-2022;0,577222222;T-shirt type 4, Reebok;2;587.424;non-cash;ПІБ 564;348
100001330;11-5-2022;0,577222222;Cufflink type 7, Reebok;1;512.64;non-cash;ПІБ 564;267
100001330;11-5-2022;0,577222222;Flip flops type 2, Puma;1;280.3328;non-cash;ПІБ 564;181
100001330;11-5-2022;0,577222222;Boots type 6, Puma;1;2144.936;non-cash;ПІБ 564;1361
100001330;11-5-2022;0,577222222;Tights type 1, Reebok;1;343.98;non-cash;ПІБ 564;182
100001334;10-14-2023;0,432604167;Shirt type 1, Adidas;1;914.82;non-cash;ПІБ 809;474
100001348;12-11-2023;0,752731481;Belt type 1, Nike;1;274.912;non-cash;;121
100001363;3-20-2023;0,522835648;Sneakers type 4, Reebok;1;2941.68;cash;;1700
100001363;3-20-2023;0,522835648;Shirt type 9, Reebok;1;546.0;cash;;273
100001367;4-6-2022;0,537835648;Tights type 1, Puma;1;215.496;non-cash;;123
100001367;4-6-2022;0,537835648;Pants type 3, Reebok;1;1850.97;non-cash;;869
100001367;4-6-2022;0,537835648;Tights type 5, Adidas;1;736.32;non-cash;;354
100001384;1-6-2023;0,417708333;Cap type 6, Adidas;2;975.2;cash;ПІБ 997;530
100001384;1-6-2023;0,417708333;Cufflink type 7, Reebok;1;512.64;cash;ПІБ 997;267
100001384;1-6-2023;0,417708333;Cap type 6, Puma;1;391.56;cash;ПІБ 997;251
100001386;4-29-2024;0,81556713;Cap type 2, Adidas;2;1261.44;cash;;584
100001387;8-8-2022;0,787303241;Pants type 11, Nike;1;866.51652;non-cash;;453
100001387;8-8-2022;0,787303241;Cap type 8, Adidas;1;326.8;non-cash;;152
100001390;1-24-2022;0,535439815;Boots type 1, Adidas;1;7293.79;non-cash;;3593
100001400;11-30-2022;0,657314815;Shirt type 12, Reebok;1;1110.8769;cash;;629
100001400;11-30-2022;0,657314815;Shoes type 2, Puma;1;3234.944;cash;;2032
100001400;11-30-2022;0,657314815;Cap type 8, Reebok;1;409.64;cash;;209
100001400;11-30-2022;0,657314815;Cap type 6, Reebok;1;203.3;cash;;107
100001411;12-13-2022;0,729340278;T-shirt type 3, Reebok;1;504.171;non-cash;ПІБ 164;263
100001429;7-24-2024;0,548483796;Pants type 11, Reebok;2;3633.68;cash;;1714
100001429;7-24-2024;0,548483796;Flip flops type 3, Reebok;1;476.3286;cash;;243
100001445;7-31-2022;0,611331019;Type 1 ball, Reebok;1;93.74;non-cash;;43
100001445;7-31-2022;0,611331019;Boots type 1, Adidas;2;14587.58;non-cash;;7186
100001445;7-31-2022;0,611331019;Shirt type 2, Puma;1;853.632;non-cash;;494
100001452;8-11-2023;0,376261574;Cap type 3, Puma;1;436.67624;cash;ПІБ 21;287
100001456;12-28-2023;0,519247685;Type 3 shirt, Nike;1;1737.236;cash;;821
100001469;3-10-2023;0,825034722;T-shirt type 3, Puma;1;616.176;cash;;389
100001471;5-12-2024;0,796747685;Pants type 6, Adidas;1;1532.0;non-cash;;766
100001471;5-12-2024;0,796747685;Cufflink type 5, Puma;1;225.792;non-cash;;140
100001482;11-20-2023;0,583553241;Flip flops type 2, Adidas;1;698.92;cash;ПІБ 1237;346
100001497;6-16-2022;0,618402778;Cufflink type 6, Nike;1;615.048;cash;;294
100001541;5-15-2023;0,601087963;Cap type 6, Puma;1;391.56;cash;;251
100001549;2-13-2022;0,431666667;Shirt type 7, Reebok;1;1310.26;non-cash;ПІБ 1037;686
100001549;2-13-2022;0,431666667;Tights type 7, Adidas;1;797.04;non-cash;ПІБ 1037;369
100001564;2-14-2022;0,389791667;T-shirt type 5, Nike;1;488.824;cash;;245
100001576;1-22-2024;0,820462963;T-shirt type 3, Nike;1;492.2;cash;ПІБ 406;230
100001576;1-22-2024;0,820462963;Pants type 2, Nike;1;1406.532;cash;ПІБ 406;597
100001576;1-22-2024;0,820462963;Cufflink type 5, Puma;1;250.88;cash;ПІБ 406;140
100001580;3-12-2022;0,587349537;T-shirt type 1, Reebok;1;187.308;cash;ПІБ 1137;88
100001580;3-12-2022;0,587349537;Shoes type 2, Puma;1;3234.944;cash;ПІБ 1137;2032
100001581;7-16-2022;0,458171296;Flip flops type 3, Adidas;1;285.4655;cash;;151
100001589;6-3-2023;0,441018519;Flip flops type 3, Reebok;1;476.3286;cash;ПІБ 1007;243
100001612;3-15-2024;0,416909722;T-shirt type 7, Reebok;1;549.12;cash;;286
100001616;10-25-2023;0,854513889;Boots type 1, Reebok;1;4672.005;cash;ПІБ 248;2535
100001616;10-25-2023;0,854513889;Pants type 9, Reebok;2;997.3824;cash;ПІБ 248;672
100001629;1-11-2022;0,501006944;Flip flops type 2, Puma;1;318.56;cash;;181
100001629;1-11-2022;0,501006944;Flip flops type 2, Reebok;2;796.79;cash;;436
100001629;1-11-2022;0,501006944;Flip flops type 1, Adidas;1;391.95;cash;;195
100001635;7-18-2024;0,700150463;Shirt type 11, Reebok;1;1481.48;non-cash;ПІБ 409;814
100001635;7-18-2024;0,700150463;Pants type 8, Adidas;1;2084.5188;non-cash;ПІБ 409;1053
100001635;7-18-2024;0,700150463;Cufflink type 2, Reebok;1;432.0;non-cash;ПІБ 409;200
100001635;7-18-2024;0,700150463;Pants type 11, Puma;1;544.824;non-cash;ПІБ 409;329
100001635;7-18-2024;0,700150463;Boots type 1, Nike;2;12111.456;non-cash;ПІБ 409;5628
100001671;6-16-2024;0,780011574;Cap type 4, Reebok;1;229.4;cash;;124
100001671;6-16-2024;0,780011574;Tights type 7, Adidas;1;797.04;cash;;369
100001671;6-16-2024;0,780011574;Tights type 1, Nike;1;422.37216;cash;;252
100001687;4-28-2023;0,785671296;T-shirt type 2, Adidas;1;505.7316;non-cash;;258
100001716;4-16-2022;0,503414352;Belt type 2, Adidas;1;325.95;cash;ПІБ 696;159
100001721;1-11-2024;0,511805556;Belt type 2, Nike;2;880.352;cash;;440
