employee_task_id,employee_id,task_id,status,completed_date
100,83,2,Completed,
101,83,3,Pending,
102,84,9,Pending,
103,84,10,Completed,
104,87,9,Pending,
105,87,10,Completed,
106,89,11,Pending,
107,89,12,Completed,
108,91,1,Completed,
109,91,2,Pending,
110,91,3,Pending,
111,95,9,Pending,
112,95,10,Pending,
113,100,11,Completed,
114,100,12,Completed,
115,101,9,Completed,
116,101,10,Pending,
117,102,9,Completed,
118,102,10,Completed,
119,103,7,Pending,
120,103,8,Pending,
121,104,9,Completed,
122,104,10,Pending,
123,105,1,Completed,
124,105,2,Pending,
125,105,3,Completed,
126,107,1,Pending,
127,107,2,Pending,
128,107,3,Completed,
129,109,7,Completed,
130,109,8,Completed,
131,110,1,Completed,
132,110,2,Completed,
133,110,3,Completed,
134,112,9,Completed,
135,112,10,Pending,
136,113,1,Pending,
137,113,2,Completed,
138,113,3,Pending,
139,114,4,Pending,
140,114,5,Completed,
141,114,6,Completed,
142,117,9,Pending,
143,117,10,Completed,
144,118,7,Completed,
145,118,8,Pending,
146,120,4,Pending,
147,120,5,Completed,
148,120,6,Completed,
149,124,7,Completed,
150,124,8,Completed,
151,130,7,Pending,
152,130,8,Pending,
153,131,9,Pending,
154,131,10,Completed,
155,133,1,Completed,
156,133,2,Completed,
157,133,3,Pending,
158,134,1,Pending,
159,134,2,Completed,
160,134,3,Pending,
161,138,9,Completed,
162,138,10,Pending,
163,139,4,Pending,
164,139,5,Completed,
165,139,6,Pending,
166,140,11,Pending,
167,140,12,Pending,
168,141,11,Pending,
169,141,12,Pending,
170,142,4,Pending,
171,142,5,Pending,
172,142,6,Pending,
173,143,9,Pending,
174,143,10,Completed,
175,144,11,Pending,
176,144,12,Completed,
177,147,1,Completed,
178,147,2,Pending,
179,147,3,Pending,
180,148,4,Completed,
181,148,5,Completed,
182,148,6,Completed,
183,149,11,Pending,
184,149,12,Pending,
185,150,11,Pending,
186,150,12,Pending,
187,151,9,Pending,
188,151,10,Pending,
189,155,1,Pending,
190,155,2,Completed,
191,155,3,Completed,
192,157,1,Completed,
193,157,2,Completed,
194,157,3,Pending,
195,158,1,Completed,
196,158,2,Pending,
197,158,3,Pending,
198,159,11,Completed,
199,159,12,Completed,
200,162,9,Pending,
201,162,10,Completed,
202,166,7,Pending,
203,166,8,Completed,
204,167,1,Pending,
205,167,2,Pending,
206,167,3,Pending,
207,169,9,Completed,
208,169,10,Completed,
209,171,7,Completed,
210,171,8,Completed,
211,172,7,Pending,
212,172,8,Completed,
213,173,9,Pending,
214,173,10,Pending,
215,174,11,Pending,
216,174,12,Pending,
217,175,1,Pending,
218,175,2,Pending,
219,175,3,Completed,
220,176,9,Completed,
221,176,10,Pending,
222,178,11,Pending,
223,178,12,Completed,
224,179,4,Completed,
225,179,5,Pending,
226,179,6,Completed,
227,180,4,Pending,
228,180,5,Pending,
229,180,6,Pending,
230,181,11,Pending,
231,181,12,Completed,
232,183,9,Pending,
233,183,10,Completed,
234,185,1,Pending,
235,185,2,Completed,
236,185,3,Pending,
237,186,4,Completed,
238,186,5,Pending,
239,186,6,Completed,
240,188,7,Completed,
241,188,8,Pending,
242,189,1,Pending,
243,189,2,Pending,
244,189,3,Pending,
245,191,1,Pending,
246,191,2,Completed,
247,191,3,Completed,
248,195,11,Completed,
249,195,12,Completed,
250,199,4,Pending,
251,199,5,Completed,
252,199,6,Completed,
253,203,4,Completed,
254,203,5,Completed,
255,203,6,Completed,
256,205,4,Completed,
257,205,5,Pending,
258,205,6,Completed,
259,206,9,Completed,
260,206,10,Completed,
261,208,7,Pending,
262,208,8,Completed,
263,212,9,Pending,
264,212,10,Completed,
265,213,9,Completed,
266,213,10,Completed,
267,215,4,Pending,
268,215,5,Completed,
269,215,6,Completed,
270,218,7,Completed,
271,218,8,Completed,
272,219,4,Pending,
273,219,5,Pending,
274,219,6,Completed,
275,222,11,Pending,
276,222,12,Completed,
277,223,1,Pending,
278,223,2,Pending,
279,223,3,Pending,
280,224,7,Pending,
281,224,8,Pending,
282,225,4,Completed,
283,225,5,Pending,
284,225,6,Completed,
285,227,7,Pending,
286,227,8,Pending,
287,228,11,Completed,
288,228,12,Pending,
289,230,1,Pending,
290,230,2,Completed,
291,230,3,Completed,
292,231,4,Completed,
293,231,5,Pending,
294,231,6,Completed,
295,232,7,Pending,
296,232,8,Completed,
297,234,4,Pending,
298,234,5,Completed,
299,234,6,Completed,
300,236,1,Completed,
301,236,2,Completed,
302,236,3,Completed,
303,238,9,Completed,
304,238,10,Pending,
305,240,4,Pending,
306,240,5,Pending,
307,240,6,Completed,
308,241,7,Completed,
309,241,8,Pending,
310,244,7,Pending,
311,244,8,Completed,
312,247,9,Pending,
313,247,10,Pending,
314,248,9,Completed,
315,248,10,Completed,
316,249,7,Pending,
317,249,8,Pending,
318,251,9,Completed,
319,251,10,Completed,
320,252,7,Pending,
321,252,8,Completed,
322,254,7,Pending,
323,254,8,Completed,
324,255,7,Completed,
325,255,8,Completed,
326,258,9,Completed,
327,258,10,Completed,
328,261,1,Completed,
329,261,2,Pending,
330,261,3,Completed,
331,263,7,Pending,
332,263,8,Completed,
333,265,9,Pending,
334,265,10,Completed,
335,266,9,Completed,
336,266,10,Completed,
337,267,4,Pending,
338,267,5,Pending,
339,267,6,Pending,
340,268,4,Completed,
341,268,5,Completed,
342,268,6,Completed,
343,269,7,Pending,
344,269,8,Completed,
345,274,1,Completed,
346,274,2,Completed,
347,274,3,Completed,
348,275,11,Pending,
349,275,12,Pending,
350,276,4,Completed,
351,276,5,Completed,
352,276,6,Completed,
353,277,11,Pending,
354,277,12,Pending,
355,280,11,Pending,
356,280,12,Pending,
357,281,9,Pending,
358,281,10,Pending,
359,283,1,Completed,
360,283,2,Pending,
361,283,3,Completed,
362,284,4,Completed,
363,284,5,Completed,
364,284,6,Completed,
365,285,11,Pending,
366,285,12,Completed,
367,286,9,Pending,
368,286,10,Pending,
369,287,1,Pending,
370,287,2,Completed,
371,287,3,Completed,
372,288,11,Completed,
373,288,12,Completed,
374,289,4,Completed,
375,289,5,Completed,
376,289,6,Pending,
377,290,9,Pending,
378,290,10,Pending,
379,292,9,Pending,
380,292,10,Pending,
381,293,9,Completed,
382,293,10,Pending,
383,295,7,Pending,
384,295,8,Pending,
385,297,1,Completed,
386,297,2,Pending,
387,297,3,Pending,
388,299,1,Completed,
389,299,2,Completed,
390,299,3,Pending,
391,301,11,Completed,
392,301,12,Pending,
393,305,7,Pending,
394,305,8,Pending,
395,306,9,Pending,
396,306,10,Completed,
397,308,11,Completed,
398,308,12,Pending,
399,309,1,Pending,
400,309,2,Pending,
401,309,3,Completed,
402,310,1,Completed,
403,310,2,Pending,
404,310,3,Completed,
405,313,9,Pending,
406,313,10,Pending,
407,314,7,Pending,
408,314,8,Completed,
409,317,1,Pending,
410,317,2,Completed,
411,317,3,Completed,
412,318,9,Pending,
413,318,10,Completed,
414,320,4,Pending,
415,320,5,Completed,
416,320,6,Completed,
417,324,11,Pending,
418,324,12,Completed,
419,326,7,Pending,
420,326,8,Pending,
421,327,9,Completed,
422,327,10,Pending,
423,328,1,Completed,
424,328,2,Completed,
425,328,3,Pending,
426,329,11,Completed,
427,329,12,Completed,
428,330,9,Pending,
429,330,10,Completed,
430,331,9,Pending,
431,331,10,Pending,
432,334,1,Pending,
433,334,2,Pending,
434,334,3,Pending,
435,335,7,Pending,
436,335,8,Completed,
437,336,7,Completed,
438,336,8,Pending,
439,337,4,Completed,
440,337,5,Completed,
441,337,6,Pending,
442,338,1,Pending,
443,338,2,Completed,
444,338,3,Completed,
445,341,11,Pending,
446,341,12,Completed,
447,344,9,Pending,
448,344,10,Completed,
449,346,7,Completed,
450,346,8,Pending,
451,348,7,Completed,
452,348,8,Pending,
453,349,9,Completed,
454,349,10,Pending,
455,352,7,Pending,
456,352,8,Pending,
457,356,7,Completed,
458,356,8,Completed,
459,358,4,Pending,
460,358,5,Completed,
461,358,6,Completed,
462,360,7,Pending,
463,360,8,Completed,
464,362,1,Pending,
465,362,2,Pending,
466,362,3,Pending,
467,363,4,Pending,
468,363,5,Completed,
469,363,6,Completed,
470,364,7,Completed,
471,364,8,Pending,
472,365,11,Pending,
473,365,12,Pending,
474,366,4,Completed,
475,366,5,Completed,
476,366,6,Pending,
477,367,11,Pending,
478,367,12,Completed,
479,368,7,Pending,
480,368,8,Completed,
481,369,7,Completed,
482,369,8,Completed,
483,370,4,Completed,
484,370,5,Completed,
485,370,6,Completed,
486,371,7,Completed,
487,371,8,Completed,
488,374,7,Completed,
489,374,8,Completed,
490,375,4,Pending,
491,375,5,Completed,
492,375,6,Pending,
493,376,7,Completed,
494,376,8,Pending,
495,377,9,Completed,
496,377,10,Completed,
497,381,11,Completed,
498,381,12,Completed,
499,384,4,Pending,
500,384,5,Completed,
501,384,6,Pending,
502,385,1,Pending,
503,385,2,Pending,
504,385,3,Pending,
505,386,7,Completed,
506,386,8,Pending,
507,388,1,Completed,
508,388,2,Completed,
509,388,3,Completed,
510,389,1,Completed,
511,389,2,Pending,
512,389,3,Completed,
513,391,7,Completed,
514,391,8,Completed,
515,392,4,Completed,
516,392,5,Pending,
517,392,6,Completed,
518,393,7,Pending,
519,393,8,Pending,
520,395,11,Pending,
521,395,12,Completed,
522,396,1,Pending,
523,396,2,Pending,
524,396,3,Completed,
525,400,9,Completed,
526,400,10,Pending,
527,402,1,Completed,
528,402,2,Pending,
529,402,3,Pending,
530,405,1,Pending,
531,405,2,Pending,
532,405,3,Completed,
533,408,1,Completed,
534,408,2,Pending,
535,408,3,Pending,
536,409,9,Pending,
537,409,10,Pending,
538,413,1,Completed,
539,413,2,Pending,
540,413,3,Completed,
541,416,9,Completed,
542,416,10,Completed,
543,417,7,Completed,
544,417,8,Completed,
545,418,7,Pending,
546,418,8,Completed,
547,422,11,Pending,
548,422,12,Pending,
549,424,9,Completed,
550,424,10,Pending,
551,426,1,Completed,
552,426,2,Pending,
553,426,3,Pending,
554,427,11,Pending,
555,427,12,Completed,
556,429,11,Completed,
557,429,12,Pending,
558,433,4,Pending,
559,433,5,Pending,
560,433,6,Completed,
561,435,1,Pending,
562,435,2,Completed,
563,435,3,Completed,
564,436,11,Completed,
565,436,12,Completed,
566,437,9,Pending,
567,437,10,Pending,
568,438,1,Completed,
569,438,2,Completed,
570,438,3,Completed,
571,439,4,Completed,
572,439,5,Pending,
573,439,6,Pending,
574,443,7,Pending,
575,443,8,Pending,
576,444,7,Completed,
577,444,8,Pending,
578,445,11,Completed,
579,445,12,Completed,
580,446,4,Pending,
581,446,5,Completed,
582,446,6,Pending,
583,448,9,Pending,
584,448,10,Pending,
585,449,4,Pending,
586,449,5,Completed,
587,449,6,Completed,
588,450,11,Completed,
589,450,12,Pending,
590,451,11,Completed,
591,451,12,Pending,
592,452,7,Completed,
593,452,8,Pending,
594,455,7,Completed,
595,455,8,Pending,
596,456,7,Pending,
597,456,8,Pending,
598,458,11,Pending,
599,458,12,Completed,
600,459,7,Pending,
601,459,8,Pending,
602,460,11,Completed,
603,460,12,Completed,
604,461,9,Completed,
605,461,10,Pending,
606,465,7,Completed,
607,465,8,Completed,
608,469,1,Pending,
609,469,2,Completed,
610,469,3,Completed,
611,470,9,Pending,
612,470,10,Pending,
613,471,1,Completed,
614,471,2,Completed,
615,471,3,Completed,
616,476,4,Completed,
617,476,5,Pending,
618,476,6,Completed,
619,477,9,Completed,
620,477,10,Pending,
621,481,9,Completed,
622,481,10,Completed,
623,483,11,Completed,
624,483,12,Completed,
625,484,4,Pending,
626,484,5,Completed,
627,484,6,Pending,
628,485,11,Completed,
629,485,12,Pending,
630,486,7,Completed,
631,486,8,Pending,
632,489,1,Completed,
633,489,2,Pending,
634,489,3,Completed,
635,490,7,Completed,
636,490,8,Pending,
637,493,1,Completed,
638,493,2,Completed,
639,493,3,Pending,
640,496,4,Pending,
641,496,5,Completed,
642,496,6,Completed,
643,499,11,Pending,
644,499,12,Pending,
645,500,7,Pending,
646,500,8,Pending,
